title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Hop,"$108,085,305",Universal,"April 1, 2011",Comedy,1 hrs. 30 min.,$63 million,PG,FOREIGN TOTAL,-,3/30/11,"$6,736,011",8.9%,"$75,868,418",9/25/11,Hungary,UIP,4/14/11,"$49,198",47.3%,"$104,009",4/24/11
Paranormal Activity 3,"$104,028,807",Paramount,"October 21, 2011",Horror,1 hrs. 21 min.,$5 million,R,FOREIGN TOTAL,-,10/19/11,"$26,109,188",25.3%,"$103,011,037",7/22/12,Hungary,UIP,10/20/11,"$34,588",29.9%,"$115,720",11/13/11
Just Go With It,"$103,028,109",Sony / Columbia,"February 11, 2011",Romantic Comedy,1 hrs. 50 min.,$80 million,PG-13,FOREIGN TOTAL,-,2/9/11,"$5,251,513",4.7%,"$111,917,482",6/19/11,Hungary,InterCom,3/10/11,"$198,542",19.9%,"$995,436",5/15/11
The Girl with the Dragon Tattoo,"$102,515,793",Sony / Columbia,"December 21, 2011",Thriller,2 hrs. 40 min.,$90 million,R,FOREIGN TOTAL,-,12/22/11,"$1,600,000",1.2%,"$130,101,637",3/25/12,Hungary,InterCom,1/19/12,"$144,882",31.6%,"$458,952",2/19/12
Bad Teacher,"$100,292,856",Sony / Columbia,"June 24, 2011",Comedy,1 hrs. 29 min.,$20 million,R,FOREIGN TOTAL,-,6/17/11,"$3,199,269",2.8%,"$115,904,636",11/6/11,Hungary,InterCom,8/18/11,"$136,661",26.8%,"$510,133",9/25/11
Cowboys & Aliens,"$100,240,551",Universal,"July 29, 2011",Sci-Fi Action,1 hrs. 58 min.,$163 million,PG-13,FOREIGN TOTAL,-,8/11/11,"$7,136,391",9.6%,"$74,581,774",11/27/11,Hungary,UIP,8/25/11,"$101,986",49.7%,"$205,154",9/11/11
Gnomeo and Juliet,"$99,967,670",Buena Vista,"February 11, 2011",Animation,1 hrs. 24 min.,N/A,G,FOREIGN TOTAL,-,2/10/11,"$5,324,024",5.7%,"$94,000,000",10/23/11,Hungary,Forum,2/10/11,"$97,986",34.1%,"$287,307",3/6/11
The Green Hornet,"$98,780,042",Sony / Columbia,"January 14, 2011",Action / Adventure,1 hrs. 48 min.,$120 million,PG-13,FOREIGN TOTAL,-,1/12/11,"$14,836,036",11.5%,"$129,037,206",6/12/11,Hungary,InterCom,1/13/11,"$108,434",45.8%,"$236,863",1/30/11
The Muppets,"$88,631,237",Buena Vista,"November 23, 2011",Family Comedy,2 hrs. 0 min.,$45 million,PG,FOREIGN TOTAL,-,11/24/11,"$1,600,000",2.1%,"$76,553,000",11/25/12,Hungary,Forum,1/12/12,"$34,062",47.4%,"$71,860",1/22/12
Real Steel,"$85,468,508",Buena Vista,"October 7, 2011",Action Drama,2 hrs. 7 min.,N/A,PG-13,FOREIGN TOTAL,-,10/6/11,"$22,100,000",10.3%,"$213,800,000",5/13/12,Hungary,Forum,10/6/11,"$133,717",32.2%,"$415,424",11/13/11
