title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Tangled,"$200,821,936",Buena Vista,"November 24, 2010",Animation,1 hrs. 40 min.,$260 million,PG,FOREIGN TOTAL,-,11/25/10,"$17,373,685",4.4%,"$390,973,000",8/12/12,Hungary,Forum Films,12/2/10,"$279,941",16.8%,"$1,662,758",2/13/11
The Karate Kid,"$176,591,618",Sony / Columbia,"June 11, 2010",Action Drama,2 hrs. 20 min.,$40 million,PG,FOREIGN TOTAL,-,6/9/10,"$5,134,879",2.8%,"$182,534,404",2/13/11,Hungary,InterCom,9/2/10,"$80,600",23.7%,"$340,318",10/10/10
Tron Legacy,"$172,062,763",Buena Vista,"December 17, 2010",Sci-Fi Action,2 hrs. 5 min.,$170 million,PG,FOREIGN TOTAL,-,12/16/10,"$20,326,730",8.9%,"$228,000,000",5/1/11,Hungary,Forum Films,12/16/10,"$160,920",17.6%,"$912,625",1/23/11
True Grit,"$171,243,005",Paramount,"December 22, 2010",Western,1 hrs. 50 min.,$38 million,PG-13,FOREIGN TOTAL,-,1/26/11,"$1,938,353",2.4%,"$81,033,922",7/17/11,Hungary,UIP,2/17/11,"$56,055",50%,"$112,220",2/27/11
Clash of the Titans,"$163,214,888",Warner Bros.,"April 2, 2010",Fantasy,1 hrs. 58 min.,$125 million,PG-13,FOREIGN TOTAL,-,3/31/10,"$37,978,904",11.5%,"$330,000,105",9/26/10,Hungary,InterCom,4/15/10,"$414,212",45.5%,"$909,855",5/23/10
Grown Ups,"$162,001,186",Sony / Columbia,"June 25, 2010",Comedy,1 hrs. 42 min.,$80 million,PG-13,FOREIGN TOTAL,-,6/24/10,"$2,416,120",2.2%,"$109,429,003",2/13/11,Hungary,InterCom,7/29/10,"$164,788",17.3%,"$950,455",10/10/10
Little Fockers,"$148,438,600",Universal,"December 22, 2010",Comedy,1 hrs. 38 min.,$100 million,PG-13,FOREIGN TOTAL,-,12/22/10,n/a,-,"$162,211,985",6/9/11,Hungary,UPI,12/23/10,"$162,792",16.4%,"$994,401",1/30/11
Megamind,"$148,415,853",Paramount (DreamWorks),"November 5, 2010",Animation,1 hrs. 36 min.,$130 million,PG,FOREIGN TOTAL,-,10/28/10,"$7,684,672",4.4%,"$173,469,912",6/9/11,Hungary,UIP,12/16/10,"$45,224",16.6%,"$271,880",1/9/11
The King's Speech,"$135,453,143",Weinstein Company,"November 26, 2010",Historical Drama,1 hrs. 58 min.,$15 million,R,FOREIGN TOTAL,-,12/16/10,"$516,324",0.2%,"$275,414,100",5/29/11,Hungary,Budapest,2/3/11,"$91,716",9.9%,"$927,154",4/10/11
The Last Airbender,"$131,772,187",Paramount,"July 1, 2010",Fantasy,1 hrs. 43 min.,$150 million,PG,FOREIGN TOTAL,-,7/8/10,"$8,595,309",4.6%,"$187,941,694",4/4/11,Hungary,UIP,7/29/10,"$299,085",34.7%,"$861,772",8/29/10
Shutter Island,"$128,012,934",Paramount,"February 19, 2010",Period Drama,2 hrs. 18 min.,$80 million,R,FOREIGN TOTAL,-,2/18/10,"$4,974,944",3%,"$166,791,261",3/13/11,Hungary,UIP,3/4/10,"$195,914",27.4%,"$714,732",4/18/10
The Other Guys,"$119,219,978",Sony / Columbia,"August 6, 2010",Action Comedy,1 hrs. 47 min.,$100 million,PG-13,FOREIGN TOTAL,-,9/2/10,"$37,009",0.1%,"$51,212,949",3/6/11,Hungary,InterCom,9/30/10,"$127,427",33%,"$386,069",10/24/10
Salt,"$118,311,368",Sony / Columbia,"July 23, 2010",Action Thriller,1 hrs. 39 min.,$110 million,PG-13,FOREIGN TOTAL,-,7/21/10,"$2,750,495",1.6%,"$175,191,986",2/13/11,Hungary,InterCom,8/12/10,"$92,168",31.8%,"$289,658",9/5/10
Jackass 3-D,"$117,229,692",Paramount,"October 15, 2010",Comedy,1 hrs. 34 min.,$20 million,R,FOREIGN TOTAL,-,10/28/10,"$4,613,944",8.5%,"$54,456,100",4/17/11,Hungary,UIP,11/18/10,"$25,166",59.3%,"$42,452",11/28/10
Valentine's Day,"$110,485,654",Warner Bros. (New Line),"February 12, 2010",Romantic Comedy,1 hrs. 57 min.,$52 million,PG-13,FOREIGN TOTAL,-,2/10/10,"$21,493,943",20.3%,"$106,000,000",12/31/10,Hungary,InterCom,2/11/10,"$434,129",46.2%,"$940,276",3/14/10
Black Swan,"$106,954,678",Fox Searchlight,"December 3, 2010",Drama / Thriller,1 hrs. 43 min.,$13 million,R,FOREIGN TOTAL,-,1/20/11,"$10,523,477",4.7%,"$222,443,368",8/31/11,Hungary,Budapest,2/17/11,"$73,861",18.8%,"$392,121",3/20/11
Robin Hood,"$105,269,730",Universal,"May 14, 2010",Period Adventure,2 hrs. 28 min.,$200 million,PG-13,FOREIGN TOTAL,-,5/12/10,"$67,937,656",31.4%,"$216,400,011",1/16/11,Hungary,UIP,5/13/10,"$211,331",45.2%,"$467,713",6/13/10
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950",Fox,"December 10, 2010",Fantasy,1 hrs. 52 min.,$155 million,PG,FOREIGN TOTAL,-,12/2/10,"$11,886,537",3.8%,"$311,299,267",7/12/11,Hungary,InterCom,12/9/10,"$151,772",21.1%,"$720,542",1/23/11
The Expendables,"$103,068,524",Lionsgate,"August 13, 2010",Action,1 hrs. 43 min.,$80 million,R,FOREIGN TOTAL,-,8/12/10,"$16,327,677",9.5%,"$171,401,870",1/9/11,Hungary,Palace,10/14/10,"$188,175",36%,"$522,133",11/14/10
Due Date,"$100,539,043",Warner Bros.,"November 5, 2010",Comedy,1 hrs. 35 min.,$65 million,R,FOREIGN TOTAL,-,11/3/10,"$20,522,721",18.4%,"$111,241,781",3/13/11,Hungary,InterCom,11/4/10,"$353,486",36.4%,"$971,977",12/19/10
Yogi Bear,"$100,246,011",Warner Bros.,"December 17, 2010",Family Comedy,1 hrs. 22 min.,$80 million,PG,FOREIGN TOTAL,-,12/22/10,n/a,-,"$101,338,130",3/20/11,Hungary,InterCom,4/7/11,"$273,056",33.1%,"$825,092",5/29/11
Date Night,"$98,711,404",Fox,"April 9, 2010",Comedy,1 hrs. 28 min.,$55 million,PG-13,FOREIGN TOTAL,-,4/8/10,"$6,380,225",11.9%,"$53,552,476",9/12/10,Hungary,Budapest,4/8/10,"$84,524",26.2%,"$322,045",5/23/10
The Social Network,"$96,962,694",Sony / Columbia,"October 1, 2010",Comedy / Drama,2 hrs. 0 min.,$40 million,PG-13,FOREIGN TOTAL,-,10/6/10,"$2,689,841",2.1%,"$127,957,621",6/12/11,Hungary,InterCom,11/11/10,"$62,133",35.4%,"$175,734",12/5/10
Sex and the City 2,"$95,347,692",Warner Bros. (New Line),"May 27, 2010",Romantic Comedy,2 hrs. 27 min.,$100 million,R,FOREIGN TOTAL,-,5/26/10,"$28,000,000",14.5%,"$193,000,000",9/19/10,Hungary,InterCom,5/27/10,"$362,194",30.4%,"$1,189,569",7/25/10
The Book of Eli,"$94,835,059",Warner Bros.,"January 15, 2010",Action / Adventure,1 hrs. 58 min.,$80 million,R,FOREIGN TOTAL,-,1/14/10,"$4,394,911",7.1%,"$62,272,696",3/6/11,Hungary,InterCom,2/25/10,"$97,215",46%,"$211,273",3/14/10
The Town,"$92,186,262",Warner Bros.,"September 17, 2010",Crime Drama,2 hrs. 3 min.,$37 million,R,FOREIGN TOTAL,-,9/15/10,"$2,224,626",3.6%,"$61,839,874",3/6/11,Hungary,InterCom,10/21/10,"$63,514",33.2%,"$191,160",11/14/10
Prince of Persia: The Sands of Time,"$90,759,676",Buena Vista,"May 28, 2010",Adventure,1 hrs. 55 min.,$200 million,PG-13,FOREIGN TOTAL,-,5/19/10,"$18,000,000",7.3%,"$245,606,000",1/9/11,Hungary,Forum,5/20/10,"$283,713",25.2%,"$1,125,141",7/25/10
Red,"$90,380,162",Summit Entertainment,"October 15, 2010",Action Comedy,1 hrs. 51 min.,$58 million,PG-13,FOREIGN TOTAL,-,10/14/10,"$5,239,858",4.8%,"$108,626,225",7/24/11,Hungary,Palace,12/9/10,"$70,355",47.7%,"$147,471",12/26/10
Percy Jackson & The Olympians: The Lightning Thief,"$88,768,303",Fox,"February 12, 2010",Fantasy,2 hrs. 0 min.,$95 million,PG,FOREIGN TOTAL,-,2/10/10,"$17,705,290",12.9%,"$137,728,906",10/4/10,Hungary,InterCom,2/18/10,"$145,253",32.8%,"$443,369",3/21/10
Paranormal Activity 2,"$84,752,907",Paramount,"October 22, 2010",Horror,1 hrs. 31 min.,$3 million,R,FOREIGN TOTAL,-,10/20/10,"$22,273,868",24%,"$92,759,125",3/21/11,Hungary,UIP,10/21/10,"$32,147",100%,"$32,147",10/24/10
Unstoppable,"$81,562,942",Fox,"November 12, 2010",Action Thriller,1 hrs. 38 min.,$100 million,PG-13,FOREIGN TOTAL,-,11/10/10,"$19,307,441",22.4%,"$86,242,524",3/20/11,Hungary,InterCom,11/18/10,"$53,685",51.6%,"$104,134",12/5/10
Eat Pray Love,"$80,574,010",Sony / Columbia,"August 13, 2010",Drama,2 hrs. 13 min.,$60 million,PG-13,FOREIGN TOTAL,-,8/12/10,n/a,-,"$124,020,006",3/20/11,Hungary,InterCom,10/14/10,"$182,804",25.8%,"$707,658",11/28/10
Dear John,"$80,014,842",Sony / Screen Gems,"February 5, 2010",Romance,1 hrs. 48 min.,$25 million,PG-13,FOREIGN TOTAL,-,2/5/10,"$120,094",0.3%,"$34,962,262",9/12/10,Hungary,Palace,4/8/10,"$28,198",31.3%,"$90,233",5/2/10
The A-Team,"$77,222,099",Fox,"June 11, 2010",Action,1 hrs. 57 min.,$110 million,PG-13,FOREIGN TOTAL,-,6/9/10,"$11,006,624",11%,"$100,016,697",1/23/11,Hungary,InterCom,8/5/10,"$48,503",48.9%,"$99,222",8/15/10
Knight & Day,"$76,423,035",Fox,"June 23, 2010",Comedy,2 hrs. 10 min.,$117 million,PG-13,FOREIGN TOTAL,-,6/23/10,"$9,703,918",5.2%,"$185,507,401",2/6/11,Hungary,InterCom,7/15/10,"$114,375",29.6%,"$385,910",8/8/10
The Tourist,"$67,631,157",Sony / Columbia,"December 10, 2010",Romantic Thriller,1 hrs. 43 min.,$100 million,PG-13,FOREIGN TOTAL,-,12/9/10,"$7,370,407",3.5%,"$210,715,032",6/5/11,Hungary,InterCom,12/29/10,"$160,921",25.1%,"$642,241",2/6/11
The Bounty Hunter,"$67,061,228",Sony / Columbia,"March 19, 2010",Action Comedy,1 hrs. 46 min.,$40 million,PG-13,FOREIGN TOTAL,-,3/18/10,"$7,776,871",11.2%,"$69,272,294",3/20/11,Hungary,InterCom,4/1/10,"$209,925",30.8%,"$682,468",5/23/10
The Sorcerer's Apprentice,"$63,150,991",Buena Vista,"July 14, 2010",Fantasy,1 hrs. 51 min.,$150 million,PG,FOREIGN TOTAL,-,7/14/10,"$8,928,216",5.9%,"$152,132,751",1/2/11,Hungary,Forum,8/5/10,"$188,002",24.5%,"$766,872",10/3/10
A Nightmare on Elm Street,"$63,075,011",Warner Bros. (New Line),"April 30, 2010",Horror,1 hrs. 30 min.,$35 million,R,FOREIGN TOTAL,-,5/6/10,"$6,121,186",11.6%,"$52,589,026",12/19/10,Hungary,InterCom,6/10/10,"$26,102",22.5%,"$115,922",7/4/10
The Wolfman,"$61,979,680",Universal,"February 12, 2010",Horror,1 hrs. 42 min.,$150 million,R,FOREIGN TOTAL,-,2/10/10,"$18,301,741",23.5%,"$77,810,085",6/13/10,Hungary,UIP,2/11/10,"$125,973",43.4%,"$290,305",3/7/10
Resident Evil: Afterlife,"$60,128,566",Sony / Screen Gems,"September 10, 2010",Action Horror,1 hrs. 40 min.,$60 million,R,FOREIGN TOTAL,-,9/9/10,"$33,471,282",14.2%,"$236,093,097",1/9/11,Hungary,InterCom,9/10/10,"$240,030",29%,"$828,587",10/17/10
Easy A,"$58,401,464",Sony / Screen Gems,"September 17, 2010",Romantic Comedy,1 hrs. 32 min.,$8 million,PG-13,FOREIGN TOTAL,-,9/16/10,"$1,123,160",6.8%,"$16,550,841",3/20/11,Hungary,InterCom,10/28/10,"$47,154",40.6%,"$116,150",11/7/10
Legend of the Guardians: The Owls of Ga'Hoole,"$55,675,313",Warner Bros.,"September 24, 2010",Animation,1 hrs. 30 min.,$80 million,PG,FOREIGN TOTAL,-,9/23/10,"$1,136,108",1.3%,"$84,398,077",3/6/11,Hungary,InterCom,10/7/10,"$125,144",39.3%,"$318,202",10/24/10
Life as We Know It,"$53,374,681",Warner Bros.,"October 8, 2010",Comedy,1 hrs. 52 min.,$38 million,PG-13,FOREIGN TOTAL,-,10/7/10,"$1,727,108",3.3%,"$52,274,025",3/20/11,Hungary,InterCom,12/2/10,"$82,353",26.3%,"$312,830",1/2/11
Letters to Juliet,"$53,032,453",Summit Entertainment,"May 14, 2010",Romance,1 hrs. 45 min.,$30 million,PG,FOREIGN TOTAL,-,5/13/10,"$890,892",3.4%,"$26,149,297",11/21/10,Hungary,Palace,8/5/10,"$48,004",30.4%,"$157,884",8/22/10
Wall Street: Money Never Sleeps,"$52,474,616",Fox,"September 24, 2010",Drama,2 hrs. 7 min.,$70 million,PG-13,FOREIGN TOTAL,-,9/22/10,"$7,278,429",8.8%,"$82,273,405",2/27/11,Hungary,InterCom,9/30/10,"$106,080",35.2%,"$301,780",10/24/10
Predators,"$52,000,688",Fox,"July 9, 2010",Sci-Fi Horror,1 hrs. 47 min.,$40 million,R,FOREIGN TOTAL,-,7/7/10,"$16,513,285",21.9%,"$75,232,420",1/24/11,Hungary,InterCom,8/19/10,"$138,483",27.4%,"$506,188",9/26/10
Kick-Ass,"$48,071,303",Lionsgate,"April 16, 2010",Action Comedy,1 hrs. 57 min.,$30 million,R,FOREIGN TOTAL,-,4/2/10,"$5,904,271",12.3%,"$48,117,600",12/19/10,Hungary,InterCom,6/17/10,"$24,078",48%,"$50,188",6/27/10
Killers,"$47,059,963",Lionsgate,"June 4, 2010",Action Comedy,1 hrs. 40 min.,$75 million,PG-13,FOREIGN TOTAL,-,6/2/10,"$1,413,641",2.8%,"$51,100,000",4/3/11,Hungary,Palace,11/18/10,"$77,829",45.5%,"$171,210",12/12/10
Saw 3D,"$45,710,178",Lionsgate,"October 29, 2010",Horror,1 hrs. 31 min.,$20 million,R,FOREIGN TOTAL,-,10/28/10,"$13,938,086",15.4%,"$90,440,256",3/20/11,Hungary,Budapest,10/28/10,"$106,475",26.7%,"$398,799",11/28/10
Cats & Dogs: The Revenge of Kitty Galore,"$43,585,753",Warner Bros.,"July 30, 2010",Family Comedy,1 hrs. 22 min.,$85 million,PG,FOREIGN TOTAL,-,7/29/10,"$2,676,613",3.9%,"$68,898,011",1/16/11,Hungary,InterCom,8/5/10,"$121,902",28.1%,"$434,404",9/5/10
Edge of Darkness,"$43,313,890",Warner Bros.,"January 29, 2010",Drama / Thriller,1 hrs. 48 min.,$80 million,R,FOREIGN TOTAL,-,1/28/10,"$3,746,210",9.9%,"$37,810,239",11/21/10,Hungary,Palace,3/18/10,"$53,523",41.1%,"$130,200",4/4/10
Gulliver's Travels,"$42,779,261",Fox,"December 25, 2010",Adventure Comedy,1 hrs. 25 min.,$112 million,PG,FOREIGN TOTAL,-,12/22/10,"$12,317,986",6.3%,"$194,603,463",5/22/11,Hungary,InterCom,2/3/11,"$154,814",38.5%,"$402,048",2/27/11
Step Up 3-D,"$42,400,223",Buena Vista,"August 6, 2010",Music Drama,1 hrs. 37 min.,$30 million,PG-13,FOREIGN TOTAL,-,3/11/10,n/a,-,"$116,891,586",3/20/11,Hungary,Forum,8/26/10,"$175,406",24.1%,"$729,068",10/3/10
Legion,"$40,168,080",Sony / Screen Gems,"January 22, 2010",Horror Thriller,1 hrs. 40 min.,$26 million,R,FOREIGN TOTAL,-,1/21/10,"$1,093,526",3.9%,"$27,750,578",3/20/11,Hungary,InterCom,3/18/10,"$37,713",56.6%,"$66,664",3/28/10
The Back-Up Plan,"$37,490,007",CBS Films,"April 23, 2010",Romantic Comedy,1 hrs. 38 min.,$35 million,PG-13,FOREIGN TOTAL,-,4/23/10,"$878,686",2.2%,"$39,987,001",3/6/11,Hungary,InterCom,6/10/10,"$39,493",14.5%,"$272,850",7/18/10
The American,"$35,606,376",Focus Features,"September 1, 2010",Drama / Thriller,1 hrs. 45 min.,$20 million,R,FOREIGN TOTAL,-,9/1/10,"$1,424,485",4.4%,"$32,269,905",3/20/11,Hungary,Palace,10/28/10,"$42,679",48.7%,"$87,651",11/7/10
Green Zone,"$35,053,660",Universal,"March 12, 2010",Thriller,1 hrs. 55 min.,$100 million,R,FOREIGN TOTAL,-,3/11/10,"$9,300,654",15.5%,"$59,828,889",1/30/11,Hungary,UIP,6/3/10,"$44,640",32.1%,"$139,085",7/4/10
Marmaduke,"$33,644,788",Fox,"June 4, 2010",Family Comedy,1 hrs. 27 min.,$50 million,PG,FOREIGN TOTAL,-,5/27/10,"$1,137,935",2.3%,"$50,117,056",1/23/11,Hungary,InterCom,6/10/10,"$33,868",13.8%,"$246,172",7/11/10
Devil,"$33,601,190",Universal,"September 17, 2010",Horror,1 hrs. 20 min.,N/A,PG-13,FOREIGN TOTAL,-,9/16/10,"$2,246,825",7.7%,"$29,094,299",4/10/11,Hungary,UIP,11/18/10,"$20,813",100%,"$20,813",11/21/10
When in Rome,"$32,680,633",Buena Vista,"January 29, 2010",Romantic Comedy,1 hrs. 31 min.,N/A,PG-13,FOREIGN TOTAL,-,1/29/10,"$41,340",0.4%,"$10,362,202",9/12/10,Hungary,Forum Films,4/22/10,"$43,182",38.7%,"$111,615",5/16/10
Love and Other Drugs,"$32,367,005",Fox,"November 24, 2010",Comedy / Drama,1 hrs. 53 min.,$30 million,R,FOREIGN TOTAL,-,12/16/10,"$1,997,340",2.8%,"$70,453,003",7/12/11,Hungary,InterCom,1/6/11,"$153,325",29.7%,"$516,873",2/6/11
She's Out of My League,"$32,010,860",Paramount,"March 12, 2010",Romantic Comedy,1 hrs. 44 min.,$20 million,R,FOREIGN TOTAL,-,2/25/10,n/a,-,"$17,768,868",10/17/10,Hungary,UIP,5/20/10,"$70,156",24.3%,"$288,228",7/4/10
Morning Glory,"$31,011,732",Paramount,"November 10, 2010",Comedy,1 hrs. 42 min.,$40 million,PG-13,FOREIGN TOTAL,-,1/6/11,"$2,199,774",7.6%,"$29,029,244",6/19/11,Hungary,UIP,3/24/11,"$64,691",41.6%,"$155,645",4/10/11
How Do You Know,"$30,212,620",Sony / Columbia,"December 17, 2010",Comedy / Drama,1 hrs. 56 min.,$120 million,PG-13,FOREIGN TOTAL,-,12/22/10,n/a,-,"$18,456,287",5/22/11,Hungary,Forum,2/24/11,"$59,088",100%,"$59,088",2/27/11
Daybreakers,"$30,101,577",Lionsgate,"January 8, 2010",Horror,1 hrs. 38 min.,$20 million,R,FOREIGN TOTAL,-,1/7/10,"$2,846,129",13.4%,"$21,314,887",11/7/10,Hungary,Budapest,4/1/10,"$16,892",100%,"$16,898",4/4/10
Nanny McPhee Returns,"$29,011,215",Universal,"August 20, 2010",Family,1 hrs. 40 min.,$35 million,PG,FOREIGN TOTAL,-,3/25/10,"$4,654,617",7.2%,"$64,239,906",1/2/11,Hungary,UIP,5/27/10,"$58,421",35.7%,"$163,702",6/20/10
The Switch,"$27,779,426",Miramax,"August 20, 2010",Comedy,1 hrs. 40 min.,$19 million,PG-13,FOREIGN TOTAL,-,8/19/10,"$1,035,872",4.7%,"$22,051,181",2/13/11,Hungary,InterCom,10/21/10,"$48,015",52.6%,"$91,351",10/31/10
Brooklyn's Finest,"$27,163,593",Overture Films,"March 5, 2010",Action / Crime,2 hrs. 13 min.,$17 million,R,FOREIGN TOTAL,-,3/4/10,"$97,198",1%,"$9,276,608",2/20/11,Hungary,Palace,4/22/10,"$52,338",46.9%,"$111,615",5/16/10
Machete,"$26,593,646",Fox,"September 3, 2010",Action / Adventure,1 hrs. 45 min.,$10.5 million,R,FOREIGN TOTAL,-,9/2/10,"$1,479,546",8.5%,"$17,499,670",3/20/11,Hungary,Budapest,11/25/10,"$30,305",41.2%,"$73,596",12/12/10
Avatar,"$749,766,139",Fox,"December 18, 2009",Sci-Fi Adventure,2 hrs. 40 min.,N/A,PG-13,FOREIGN TOTAL,-,12/16/09,"$164,545,565",8.1%,"$2,027,457,462",N/A,Hungary,Fox,12/17/09,"$713,220",9.8%,"$7,300,532",6/13/10
Transformers: Revenge of the Fallen,"$402,111,870",Paramount (DreamWorks),"June 24, 2009",Sci-Fi Action,2 hrs. 24 min.,$200 million,PG-13,FOREIGN TOTAL,-,6/19/09,"$19,843,916",4.6%,"$434,191,823",2/26/10,Hungary,UIP,6/24/09,"$368,006",33.6%,"$1,095,400",8/9/09
Harry Potter and the Half-Blood Prince,"$301,959,197",Warner Bros.,"July 15, 2009",Fantasy,2 hrs. 33 min.,$250 million,PG,FOREIGN TOTAL,-,7/15/09,"$236,000,000",37.3%,"$632,457,290",N/A,Hungary,InterCom,7/23/09,"$991,482",35.2%,"$2,813,144",9/20/09
The Twilight Saga: New Moon,"$296,623,634",Summit Entertainment,"November 20, 2009",Romance,2 hrs. 10 min.,$50 million,PG-13,FOREIGN TOTAL,-,11/18/09,"$132,100,000",32%,"$413,087,374",10/4/15,Hungary,Forum Films,11/20/09,"$734,583",43.9%,"$1,672,215",1/10/10
Up,"$293,004,164",Buena Vista,"May 29, 2009",Animation,1 hrs. 36 min.,$175 million,PG,FOREIGN TOTAL,-,5/28/09,"$4,221,469",1%,"$438,338,580",8/1/10,Hungary,Forum Films,10/15/09,"$332,075",24.6%,"$1,349,234",12/13/09
The Hangover,"$277,322,503",Warner Bros.,"June 5, 2009",Comedy,1 hrs. 36 min.,$35 million,R,FOREIGN TOTAL,-,6/10/09,"$11,900,000",6.3%,"$190,161,409",7/18/10,Hungary,InterCom,6/18/09,"$204,802",11.5%,"$1,784,961",10/18/09
Star Trek,"$257,730,019",Paramount,"May 8, 2009",Sci-Fi Adventure,2 hrs. 6 min.,$150 million,PG-13,FOREIGN TOTAL,-,5/6/09,"$35,752,122",27.9%,"$127,950,427",2/4/10,Hungary,UIP,5/7/09,"$122,227",34.2%,"$357,506",6/14/09
Alvin and the Chipmunks: The Squeakquel,"$219,614,612",Fox,"December 23, 2009",Family Comedy,1 hrs. 28 min.,$75 million,PG,FOREIGN TOTAL,-,12/21/09,"$23,487,432",10.5%,"$223,525,393",8/22/10,Hungary,InterCom,12/24/09,"$109,636",17.7%,"$618,308",2/14/10
Sherlock Holmes,"$209,028,679",Warner Bros.,"December 25, 2009",Adventure,2 hrs. 14 min.,$90 million,PG-13,FOREIGN TOTAL,-,12/24/09,"$19,198,263",6.1%,"$315,000,000",12/31/10,Hungary,InterCom,1/7/10,"$430,864",33.6%,"$1,283,931",2/28/10
Monsters Vs. Aliens,"$198,351,526",Paramount (DreamWorks),"March 27, 2009",Animation,1 hrs. 34 min.,$175 million,PG,FOREIGN TOTAL,-,3/19/09,"$6,222,687",3.4%,"$183,158,344",1/27/10,Hungary,UIP - Duna,4/2/09,"$134,311",19.8%,"$678,049",6/7/09
Ice Age: Dawn of the Dinosaurs,"$196,573,705",Fox,"July 1, 2009",Animation,1 hrs. 27 min.,$90 million,PG,FOREIGN TOTAL,-,6/29/09,"$151,697,196",22%,"$690,113,112",8/29/10,Hungary,InterCom,7/1/09,"$747,690",18.2%,"$4,101,370",9/20/09
X-Men Origins: Wolverine,"$179,883,157",Fox,"May 1, 2009",Action / Adventure,1 hrs. 47 min.,$150 million,PG-13,FOREIGN TOTAL,-,4/29/09,"$73,154,892",37.9%,"$193,179,707",11/1/09,Hungary,InterCom,4/30/09,"$181,888",32%,"$568,367",6/14/09
Night at the Museum: Battle of the Smithsonian,"$177,243,721",Fox,"May 22, 2009",Family Adventure,1 hrs. 45 min.,$150 million,PG,FOREIGN TOTAL,-,5/20/09,"$49,036,322",20.8%,"$235,862,449",3/9/10,Hungary,Fox,5/21/09,"$112,991",19%,"$593,303",7/19/09
2012,"$166,112,167",Sony / Columbia,"November 13, 2009",Action Drama,2 hrs. 38 min.,$200 million,PG-13,FOREIGN TOTAL,-,11/11/09,"$165,232,860",27.4%,"$603,567,306",8/22/10,Hungary,InterCom,11/12/09,"$542,955",38.8%,"$1,399,821",1/3/10
The Proposal,"$163,958,031",Buena Vista,"June 19, 2009",Romantic Comedy,1 hrs. 48 min.,$40 million,PG-13,FOREIGN TOTAL,-,6/17/10,n/a,-,"$153,417,000",4/4/10,Hungary,Forum Films,6/18/09,"$203,960",13.9%,"$1,462,262",10/4/09
Fast and Furious,"$155,064,265",Universal,"April 3, 2009",Action,1 hrs. 39 min.,$85 million,PG-13,FOREIGN TOTAL,-,4/2/09,"$30,746,049",14.8%,"$208,100,000",11/10/09,Hungary,UIP,4/9/09,"$174,226",35.9%,"$484,730",5/10/09
G.I. Joe: The Rise of Cobra,"$150,201,498",Paramount,"August 7, 2009",Action,1 hrs. 58 min.,$175 million,PG-13,FOREIGN TOTAL,-,8/5/09,"$35,668,411",23.4%,"$152,267,519",2/4/10,Hungary,UIP,8/6/09,"$170,620",38.1%,"$448,212",9/6/09
Taken,"$145,000,989",Fox,"January 30, 2009",Action,1 hrs. 33 min.,$25 million,PG-13,FOREIGN TOTAL,-,2/27/08,"$2,183,039",2.7%,"$81,829,579",9/13/09,Hungary,SPI Int'l,3/19/09,"$46,899",26%,"$180,215",4/26/09
A Christmas Carol,"$137,855,863",Buena Vista,"November 6, 2009",Animation,1 hrs. 36 min.,$200 million,PG,FOREIGN TOTAL,-,9/9/09,n/a,-,"$187,430,783",12/19/10,Hungary,Forum Films,11/5/09,"$126,901",18.9%,"$672,128",12/27/09
Angels & Demons,"$133,375,846",Sony / Columbia,"May 15, 2009",Thriller,2 hrs. 20 min.,$150 million,PG-13,FOREIGN TOTAL,-,5/13/09,"$90,640,130",25.7%,"$352,554,970",11/15/09,Hungary,InterCom,5/13/09,"$374,446",23.9%,"$1,563,828",7/26/09
Terminator Salvation,"$125,322,469",Warner Bros.,"May 21, 2009",Sci-Fi Action,1 hrs. 54 min.,$200 million,PG-13,FOREIGN TOTAL,-,5/20/09,"$8,305,116",3.4%,"$246,030,532",10/11/09,Hungary,Sony,6/4/09,"$401,540",42.3%,"$949,696",7/26/09
Cloudy with a Chance of Meatballs,"$124,870,275",Sony / Columbia,"September 18, 2009",Animation,1 hrs. 21 min.,$100 million,PG,FOREIGN TOTAL,-,9/16/09,"$4,850,751",4.1%,"$118,135,851",10/17/10,Hungary,InterCom,9/24/09,"$101,657",25.7%,"$395,599",11/1/09
Inglourious Basterds,"$120,540,719",Weinstein Company,"August 21, 2009",War,2 hrs. 32 min.,$70 million,R,FOREIGN TOTAL,-,8/19/09,"$26,358,493",13.1%,"$200,914,970",4/5/10,Hungary,UIP,8/20/09,"$212,453",16.1%,"$1,320,254",10/25/09
G-Force,"$119,436,770",Buena Vista,"July 24, 2009",Family Adventure,1 hrs. 30 min.,$150 million,PG,FOREIGN TOTAL,-,7/23/09,"$777,418",0.4%,"$173,381,071",2/27/11,Hungary,Forum Films,8/20/09,"$282,908",24.9%,"$1,137,794",10/11/09
District 9,"$115,646,235",TriStar,"August 14, 2009",Sci-Fi,1 hrs. 53 min.,$30 million,R,FOREIGN TOTAL,-,8/13/09,"$7,551,802",7.9%,"$95,173,376",8/15/10,Hungary,Palace,9/24/09,"$121,561",36%,"$337,665",10/18/09
It's Complicated,"$112,735,375",Universal,"December 25, 2009",Romantic Comedy,1 hrs. 58 min.,$85 million,R,FOREIGN TOTAL,-,12/23/09,"$5,631,126",5.3%,"$106,368,280",7/11/10,Hungary,UIP,12/24/09,"$201,285",16.2%,"$1,242,457",2/21/10
